"color","hex","name","rgb"
"AliceBlue","#F0F8FF","AliceBlue","rgb(240, 248, 255)"
"AntiqueWhite","#FAEBD7","AntiqueWhite","rgb(250, 235, 215)"
"AntiqueWhite1","#FFEFDB","AntiqueWhite1","rgb(255, 239, 219)"
"AntiqueWhite2","#EEDFCC","AntiqueWhite2","rgb(238, 223, 204)"
"AntiqueWhite3","#CDC0B0","AntiqueWhite3","rgb(205, 192, 176)"
"AntiqueWhite4","#8B8378","AntiqueWhite4","rgb(139, 131, 120)"
"aqua","#00FFFF","aqua","rgb(0, 255, 255)"
"aquamarine","#7FFFD4","aquamarine","rgb(127, 255, 212)"
"aquamarine1","#7FFFD4","aquamarine1","rgb(127, 255, 212)"
"aquamarine2","#76EEC6","aquamarine2","rgb(118, 238, 198)"
"aquamarine3","#66CDAA","aquamarine3","rgb(102, 205, 170)"
"aquamarine4","#458B74","aquamarine4","rgb(69, 139, 116)"
"azure","#F0FFFF","azure","rgb(240, 255, 255)"
"azure1","#F0FFFF","azure1","rgb(240, 255, 255)"
"azure2","#E0EEEE","azure2","rgb(224, 238, 238)"
"azure3","#C1CDCD","azure3","rgb(193, 205, 205)"
"azure4","#838B8B","azure4","rgb(131, 139, 139)"
"beige","#F5F5DC","beige","rgb(245, 245, 220)"
"bisque","#FFE4C4","bisque","rgb(255, 228, 196)"
"bisque1","#FFE4C4","bisque1","rgb(255, 228, 196)"
"bisque2","#EED5B7","bisque2","rgb(238, 213, 183)"
"bisque3","#CDB79E","bisque3","rgb(205, 183, 158)"
"bisque4","#8B7D6B","bisque4","rgb(139, 125, 107)"
"black","#000000","black","rgb(0, 0, 0)"
"BlanchedAlmond","#FFEBCD","BlanchedAlmond","rgb(255, 235, 205)"
"blue","#0000FF","blue","rgb(0, 0, 255)"
"blue1","#0000FF","blue1","rgb(0, 0, 255)"
"blue2","#0000EE","blue2","rgb(0, 0, 238)"
"blue3","#0000CD","blue3","rgb(0, 0, 205)"
"blue4","#00008B","blue4","rgb(0, 0, 139)"
"BlueViolet","#8A2BE2","BlueViolet","rgb(138, 43, 226)"
"brown","#A52A2A","brown","rgb(165, 42, 42)"
"brown1","#FF4040","brown1","rgb(255, 64, 64)"
"brown2","#EE3B3B","brown2","rgb(238, 59, 59)"
"brown3","#CD3333","brown3","rgb(205, 51, 51)"
"brown4","#8B2323","brown4","rgb(139, 35, 35)"
"burlywood","#DEB887","burlywood","rgb(222, 184, 135)"
"burlywood1","#FFD39B","burlywood1","rgb(255, 211, 155)"
"burlywood2","#EEC591","burlywood2","rgb(238, 197, 145)"
"burlywood3","#CDAA7D","burlywood3","rgb(205, 170, 125)"
"burlywood4","#8B7355","burlywood4","rgb(139, 115, 85)"
"cadet blue","#5F9EA0","cadet blue","rgb(95, 158, 160)"
"CadetBlue","#5F9EA0","CadetBlue","rgb(95, 158, 160)"
"CadetBlue1","#98F5FF","CadetBlue1","rgb(152, 245, 255)"
"CadetBlue2","#8EE5EE","CadetBlue2","rgb(142, 229, 238)"
"CadetBlue3","#7AC5CD","CadetBlue3","rgb(122, 197, 205)"
"CadetBlue4","#53868B","CadetBlue4","rgb(83, 134, 139)"
"chartreuse","#7FFF00","chartreuse","rgb(127, 255, 0)"
"chartreuse1","#7FFF00","chartreuse1","rgb(127, 255, 0)"
"chartreuse2","#76EE00","chartreuse2","rgb(118, 238, 0)"
"chartreuse3","#66CD00","chartreuse3","rgb(102, 205, 0)"
"chartreuse4","#458B00","chartreuse4","rgb(69, 139, 0)"
"chocolate","#D2691E","chocolate","rgb(210, 105, 30)"
"chocolate1","#FF7F24","chocolate1","rgb(255, 127, 36)"
"chocolate2","#EE7621","chocolate2","rgb(238, 118, 33)"
"chocolate3","#CD661D","chocolate3","rgb(205, 102, 29)"
"chocolate4","#8B4513","chocolate4","rgb(139, 69, 19)"
"coral","#FF7F50","coral","rgb(255, 127, 80)"
"coral1","#FF7256","coral1","rgb(255, 114, 86)"
"coral2","#EE6A50","coral2","rgb(238, 106, 80)"
"coral3","#CD5B45","coral3","rgb(205, 91, 69)"
"coral4","#8B3E2F","coral4","rgb(139, 62, 47)"
"CornflowerBlue","#6495ED","CornflowerBlue","rgb(100, 149, 237)"
"cornsilk","#FFF8DC","cornsilk","rgb(255, 248, 220)"
"cornsilk1","#FFF8DC","cornsilk1","rgb(255, 248, 220)"
"cornsilk2","#EEE8CD","cornsilk2","rgb(238, 232, 205)"
"cornsilk3","#CDC8B1","cornsilk3","rgb(205, 200, 177)"
"cornsilk4","#8B8878","cornsilk4","rgb(139, 136, 120)"
"crimson","#DC143C","crimson","rgb(220, 20, 60)"
"cyan","#00FFFF","cyan","rgb(0, 255, 255)"
"cyan1","#00FFFF","cyan1","rgb(0, 255, 255)"
"cyan2","#00EEEE","cyan2","rgb(0, 238, 238)"
"cyan3","#00CDCD","cyan3","rgb(0, 205, 205)"
"cyan4","#008B8B","cyan4","rgb(0, 139, 139)"
"DarkBlue","#00008B","DarkBlue","rgb(0, 0, 139)"
"DarkCyan","#008B8B","DarkCyan","rgb(0, 139, 139)"
"DarkGoldenrod","#B8860B","DarkGoldenrod","rgb(184, 134, 11)"
"DarkGoldenrod1","#FFB90F","DarkGoldenrod1","rgb(255, 185, 15)"
"DarkGoldenrod2","#EEAD0E","DarkGoldenrod2","rgb(238, 173, 14)"
"DarkGoldenrod3","#CD950C","DarkGoldenrod3","rgb(205, 149, 12)"
"DarkGoldenrod4","#8B6508","DarkGoldenrod4","rgb(139, 101, 8)"
"DarkGray","#A9A9A9","DarkGray","rgb(169, 169, 169)"
"DarkGreen","#006400","DarkGreen","rgb(0, 100, 0)"
"DarkGrey","#A9A9A9","DarkGrey","rgb(169, 169, 169)"
"DarkKhaki","#BDB76B","DarkKhaki","rgb(189, 183, 107)"
"DarkMagenta","#8B008B","DarkMagenta","rgb(139, 0, 139)"
"DarkOliveGreen","#556B2F","DarkOliveGreen","rgb(85, 107, 47)"
"DarkOliveGreen1","#CAFF70","DarkOliveGreen1","rgb(202, 255, 112)"
"DarkOliveGreen2","#BCEE68","DarkOliveGreen2","rgb(188, 238, 104)"
"DarkOliveGreen3","#A2CD5A","DarkOliveGreen3","rgb(162, 205, 90)"
"DarkOliveGreen4","#6E8B3D","DarkOliveGreen4","rgb(110, 139, 61)"
"DarkOrange","#FF8C00","DarkOrange","rgb(255, 140, 0)"
"DarkOrange1","#FF7F00","DarkOrange1","rgb(255, 127, 0)"
"DarkOrange2","#EE7600","DarkOrange2","rgb(238, 118, 0)"
"DarkOrange3","#CD6600","DarkOrange3","rgb(205, 102, 0)"
"DarkOrange4","#8B4500","DarkOrange4","rgb(139, 69, 0)"
"DarkOrchid","#9932CC","DarkOrchid","rgb(153, 50, 204)"
"DarkOrchid1","#BF3EFF","DarkOrchid1","rgb(191, 62, 255)"
"DarkOrchid2","#B23AEE","DarkOrchid2","rgb(178, 58, 238)"
"DarkOrchid3","#9A32CD","DarkOrchid3","rgb(154, 50, 205)"
"DarkOrchid4","#68228B","DarkOrchid4","rgb(104, 34, 139)"
"DarkRed","#8B0000","DarkRed","rgb(139, 0, 0)"
"DarkSalmon","#E9967A","DarkSalmon","rgb(233, 150, 122)"
"DarkSeaGreen","#8FBC8F","DarkSeaGreen","rgb(143, 188, 143)"
"DarkSeaGreen1","#C1FFC1","DarkSeaGreen1","rgb(193, 255, 193)"
"DarkSeaGreen2","#B4EEB4","DarkSeaGreen2","rgb(180, 238, 180)"
"DarkSeaGreen3","#9BCD9B","DarkSeaGreen3","rgb(155, 205, 155)"
"DarkSeaGreen4","#698B69","DarkSeaGreen4","rgb(105, 139, 105)"
"DarkSlateBlue","#483D8B","DarkSlateBlue","rgb(72, 61, 139)"
"DarkSlateGray","#2F4F4F","DarkSlateGray","rgb(47, 79, 79)"
"DarkSlateGray1","#97FFFF","DarkSlateGray1","rgb(151, 255, 255)"
"DarkSlateGray2","#8DEEEE","DarkSlateGray2","rgb(141, 238, 238)"
"DarkSlateGray3","#79CDCD","DarkSlateGray3","rgb(121, 205, 205)"
"DarkSlateGray4","#528B8B","DarkSlateGray4","rgb(82, 139, 139)"
"DarkSlateGrey","#2F4F4F","DarkSlateGrey","rgb(47, 79, 79)"
"DarkTurquoise","#00CED1","DarkTurquoise","rgb(0, 206, 209)"
"DarkViolet","#9400D3","DarkViolet","rgb(148, 0, 211)"
"DeepPink","#FF1493","DeepPink","rgb(255, 20, 147)"
"DeepPink1","#FF1493","DeepPink1","rgb(255, 20, 147)"
"DeepPink2","#EE1289","DeepPink2","rgb(238, 18, 137)"
"DeepPink3","#CD1076","DeepPink3","rgb(205, 16, 118)"
"DeepPink4","#8B0A50","DeepPink4","rgb(139, 10, 80)"
"DeepSkyBlue","#00BFFF","DeepSkyBlue","rgb(0, 191, 255)"
"DeepSkyBlue1","#00BFFF","DeepSkyBlue1","rgb(0, 191, 255)"
"DeepSkyBlue2","#00B2EE","DeepSkyBlue2","rgb(0, 178, 238)"
"DeepSkyBlue3","#009ACD","DeepSkyBlue3","rgb(0, 154, 205)"
"DeepSkyBlue4","#00688B","DeepSkyBlue4","rgb(0, 104, 139)"
"DimGray","#696969","DimGray","rgb(105, 105, 105)"
"DimGrey","#696969","DimGrey","rgb(105, 105, 105)"
"DodgerBlue","#1E90FF","DodgerBlue","rgb(30, 144, 255)"
"DodgerBlue1","#1E90FF","DodgerBlue1","rgb(30, 144, 255)"
"DodgerBlue2","#1C86EE","DodgerBlue2","rgb(28, 134, 238)"
"DodgerBlue3","#1874CD","DodgerBlue3","rgb(24, 116, 205)"
"DodgerBlue4","#104E8B","DodgerBlue4","rgb(16, 78, 139)"
"firebrick","#B22222","firebrick","rgb(178, 34, 34)"
"firebrick1","#FF3030","firebrick1","rgb(255, 48, 48)"
"firebrick2","#EE2C2C","firebrick2","rgb(238, 44, 44)"
"firebrick3","#CD2626","firebrick3","rgb(205, 38, 38)"
"firebrick4","#8B1A1A","firebrick4","rgb(139, 26, 26)"
"FloralWhite","#FFFAF0","FloralWhite","rgb(255, 250, 240)"
"ForestGreen","#228B22","ForestGreen","rgb(34, 139, 34)"
"fractal","#808080","fractal","rgb(128, 128, 128)"
"fuchsia","#FF00FF","fuchsia","rgb(255, 0, 255)"
"gainsboro","#DCDCDC","gainsboro","rgb(220, 220, 220)"
"GhostWhite","#F8F8FF","GhostWhite","rgb(248, 248, 255)"
"gold","#FFD700","gold","rgb(255, 215, 0)"
"gold1","#FFD700","gold1","rgb(255, 215, 0)"
"gold2","#EEC900","gold2","rgb(238, 201, 0)"
"gold3","#CDAD00","gold3","rgb(205, 173, 0)"
"gold4","#8B7500","gold4","rgb(139, 117, 0)"
"goldenrod","#DAA520","goldenrod","rgb(218, 165, 32)"
"goldenrod1","#FFC125","goldenrod1","rgb(255, 193, 37)"
"goldenrod2","#EEB422","goldenrod2","rgb(238, 180, 34)"
"goldenrod3","#CD9B1D","goldenrod3","rgb(205, 155, 29)"
"goldenrod4","#8B6914","goldenrod4","rgb(139, 105, 20)"
"gray","#7E7E7E","gray","rgb(126, 126, 126)"
"gray0","#000000","gray0","rgb(0, 0, 0)"
"gray1","#030303","gray1","rgb(3, 3, 3)"
"gray10","#1A1A1A","gray10","rgb(26, 26, 26)"
"gray100","#FFFFFF","gray100","rgb(255, 255, 255)"
"gray11","#1C1C1C","gray11","rgb(28, 28, 28)"
"gray12","#1F1F1F","gray12","rgb(31, 31, 31)"
"gray13","#212121","gray13","rgb(33, 33, 33)"
"gray14","#242424","gray14","rgb(36, 36, 36)"
"gray15","#262626","gray15","rgb(38, 38, 38)"
"gray16","#292929","gray16","rgb(41, 41, 41)"
"gray17","#2B2B2B","gray17","rgb(43, 43, 43)"
"gray18","#2E2E2E","gray18","rgb(46, 46, 46)"
"gray19","#303030","gray19","rgb(48, 48, 48)"
"gray2","#050505","gray2","rgb(5, 5, 5)"
"gray20","#333333","gray20","rgb(51, 51, 51)"
"gray21","#363636","gray21","rgb(54, 54, 54)"
"gray22","#383838","gray22","rgb(56, 56, 56)"
"gray23","#3B3B3B","gray23","rgb(59, 59, 59)"
"gray24","#3D3D3D","gray24","rgb(61, 61, 61)"
"gray25","#404040","gray25","rgb(64, 64, 64)"
"gray26","#424242","gray26","rgb(66, 66, 66)"
"gray27","#454545","gray27","rgb(69, 69, 69)"
"gray28","#474747","gray28","rgb(71, 71, 71)"
"gray29","#4A4A4A","gray29","rgb(74, 74, 74)"
"gray3","#080808","gray3","rgb(8, 8, 8)"
"gray30","#4D4D4D","gray30","rgb(77, 77, 77)"
"gray31","#4F4F4F","gray31","rgb(79, 79, 79)"
"gray32","#525252","gray32","rgb(82, 82, 82)"
"gray33","#545454","gray33","rgb(84, 84, 84)"
"gray34","#575757","gray34","rgb(87, 87, 87)"
"gray35","#595959","gray35","rgb(89, 89, 89)"
"gray36","#5C5C5C","gray36","rgb(92, 92, 92)"
"gray37","#5E5E5E","gray37","rgb(94, 94, 94)"
"gray38","#616161","gray38","rgb(97, 97, 97)"
"gray39","#636363","gray39","rgb(99, 99, 99)"
"gray4","#0A0A0A","gray4","rgb(10, 10, 10)"
"gray40","#666666","gray40","rgb(102, 102, 102)"
"gray41","#696969","gray41","rgb(105, 105, 105)"
"gray42","#6B6B6B","gray42","rgb(107, 107, 107)"
"gray43","#6E6E6E","gray43","rgb(110, 110, 110)"
"gray44","#707070","gray44","rgb(112, 112, 112)"
"gray45","#737373","gray45","rgb(115, 115, 115)"
"gray46","#757575","gray46","rgb(117, 117, 117)"
"gray47","#787878","gray47","rgb(120, 120, 120)"
"gray48","#7A7A7A","gray48","rgb(122, 122, 122)"
"gray49","#7D7D7D","gray49","rgb(125, 125, 125)"
"gray5","#0D0D0D","gray5","rgb(13, 13, 13)"
"gray50","#7F7F7F","gray50","rgb(127, 127, 127)"
"gray51","#828282","gray51","rgb(130, 130, 130)"
"gray52","#858585","gray52","rgb(133, 133, 133)"
"gray53","#878787","gray53","rgb(135, 135, 135)"
"gray54","#8A8A8A","gray54","rgb(138, 138, 138)"
"gray55","#8C8C8C","gray55","rgb(140, 140, 140)"
"gray56","#8F8F8F","gray56","rgb(143, 143, 143)"
"gray57","#919191","gray57","rgb(145, 145, 145)"
"gray58","#949494","gray58","rgb(148, 148, 148)"
"gray59","#969696","gray59","rgb(150, 150, 150)"
"gray6","#0F0F0F","gray6","rgb(15, 15, 15)"
"gray60","#999999","gray60","rgb(153, 153, 153)"
"gray61","#9C9C9C","gray61","rgb(156, 156, 156)"
"gray62","#9E9E9E","gray62","rgb(158, 158, 158)"
"gray63","#A1A1A1","gray63","rgb(161, 161, 161)"
"gray64","#A3A3A3","gray64","rgb(163, 163, 163)"
"gray65","#A6A6A6","gray65","rgb(166, 166, 166)"
"gray66","#A8A8A8","gray66","rgb(168, 168, 168)"
"gray67","#ABABAB","gray67","rgb(171, 171, 171)"
"gray68","#ADADAD","gray68","rgb(173, 173, 173)"
"gray69","#B0B0B0","gray69","rgb(176, 176, 176)"
"gray7","#121212","gray7","rgb(18, 18, 18)"
"gray70","#B3B3B3","gray70","rgb(179, 179, 179)"
"gray71","#B5B5B5","gray71","rgb(181, 181, 181)"
"gray72","#B8B8B8","gray72","rgb(184, 184, 184)"
"gray73","#BABABA","gray73","rgb(186, 186, 186)"
"gray74","#BDBDBD","gray74","rgb(189, 189, 189)"
"gray75","#BFBFBF","gray75","rgb(191, 191, 191)"
"gray76","#C2C2C2","gray76","rgb(194, 194, 194)"
"gray77","#C4C4C4","gray77","rgb(196, 196, 196)"
"gray78","#C7C7C7","gray78","rgb(199, 199, 199)"
"gray79","#C9C9C9","gray79","rgb(201, 201, 201)"
"gray8","#141414","gray8","rgb(20, 20, 20)"
"gray80","#CCCCCC","gray80","rgb(204, 204, 204)"
"gray81","#CFCFCF","gray81","rgb(207, 207, 207)"
"gray82","#D1D1D1","gray82","rgb(209, 209, 209)"
"gray83","#D4D4D4","gray83","rgb(212, 212, 212)"
"gray84","#D6D6D6","gray84","rgb(214, 214, 214)"
"gray85","#D9D9D9","gray85","rgb(217, 217, 217)"
"gray86","#DBDBDB","gray86","rgb(219, 219, 219)"
"gray87","#DEDEDE","gray87","rgb(222, 222, 222)"
"gray88","#E0E0E0","gray88","rgb(224, 224, 224)"
"gray89","#E3E3E3","gray89","rgb(227, 227, 227)"
"gray9","#171717","gray9","rgb(23, 23, 23)"
"gray90","#E5E5E5","gray90","rgb(229, 229, 229)"
"gray91","#E8E8E8","gray91","rgb(232, 232, 232)"
"gray92","#EBEBEB","gray92","rgb(235, 235, 235)"
"gray93","#EDEDED","gray93","rgb(237, 237, 237)"
"gray94","#F0F0F0","gray94","rgb(240, 240, 240)"
"gray95","#F2F2F2","gray95","rgb(242, 242, 242)"
"gray96","#F5F5F5","gray96","rgb(245, 245, 245)"
"gray97","#F7F7F7","gray97","rgb(247, 247, 247)"
"gray98","#FAFAFA","gray98","rgb(250, 250, 250)"
"gray99","#FCFCFC","gray99","rgb(252, 252, 252)"
"green","#008000","green","rgb(0, 128, 0)"
"green1","#00FF00","green1","rgb(0, 255, 0)"
"green2","#00EE00","green2","rgb(0, 238, 0)"
"green3","#00CD00","green3","rgb(0, 205, 0)"
"green4","#008B00","green4","rgb(0, 139, 0)"
"GreenYellow","#ADFF2F","GreenYellow","rgb(173, 255, 47)"
"grey0","#000000","grey0","rgb(0, 0, 0)"
"grey1","#030303","grey1","rgb(3, 3, 3)"
"grey10","#1A1A1A","grey10","rgb(26, 26, 26)"
"grey100","#FFFFFF","grey100","rgb(255, 255, 255)"
"grey100","#FFFFFF","grey100","rgb(255, 255, 255)"
"grey11","#1C1C1C","grey11","rgb(28, 28, 28)"
"grey12","#1F1F1F","grey12","rgb(31, 31, 31)"
"grey13","#212121","grey13","rgb(33, 33, 33)"
"grey14","#242424","grey14","rgb(36, 36, 36)"
"grey15","#262626","grey15","rgb(38, 38, 38)"
"grey16","#292929","grey16","rgb(41, 41, 41)"
"grey17","#2B2B2B","grey17","rgb(43, 43, 43)"
"grey18","#2E2E2E","grey18","rgb(46, 46, 46)"
"grey19","#303030","grey19","rgb(48, 48, 48)"
"grey2","#050505","grey2","rgb(5, 5, 5)"
"grey20","#333333","grey20","rgb(51, 51, 51)"
"grey21","#363636","grey21","rgb(54, 54, 54)"
"grey22","#383838","grey22","rgb(56, 56, 56)"
"grey23","#3B3B3B","grey23","rgb(59, 59, 59)"
"grey24","#3D3D3D","grey24","rgb(61, 61, 61)"
"grey25","#404040","grey25","rgb(64, 64, 64)"
"grey26","#424242","grey26","rgb(66, 66, 66)"
"grey27","#454545","grey27","rgb(69, 69, 69)"
"grey28","#474747","grey28","rgb(71, 71, 71)"
"grey29","#4A4A4A","grey29","rgb(74, 74, 74)"
"grey3","#080808","grey3","rgb(8, 8, 8)"
"grey30","#4D4D4D","grey30","rgb(77, 77, 77)"
"grey31","#4F4F4F","grey31","rgb(79, 79, 79)"
"grey32","#525252","grey32","rgb(82, 82, 82)"
"grey33","#545454","grey33","rgb(84, 84, 84)"
"grey34","#575757","grey34","rgb(87, 87, 87)"
"grey35","#595959","grey35","rgb(89, 89, 89)"
"grey36","#5C5C5C","grey36","rgb(92, 92, 92)"
"grey37","#5E5E5E","grey37","rgb(94, 94, 94)"
"grey38","#616161","grey38","rgb(97, 97, 97)"
"grey39","#636363","grey39","rgb(99, 99, 99)"
"grey4","#0A0A0A","grey4","rgb(10, 10, 10)"
"grey40","#666666","grey40","rgb(102, 102, 102)"
"grey41","#696969","grey41","rgb(105, 105, 105)"
"grey42","#6B6B6B","grey42","rgb(107, 107, 107)"
"grey43","#6E6E6E","grey43","rgb(110, 110, 110)"
"grey44","#707070","grey44","rgb(112, 112, 112)"
"grey45","#737373","grey45","rgb(115, 115, 115)"
"grey46","#757575","grey46","rgb(117, 117, 117)"
"grey47","#787878","grey47","rgb(120, 120, 120)"
"grey48","#7A7A7A","grey48","rgb(122, 122, 122)"
"grey49","#7D7D7D","grey49","rgb(125, 125, 125)"
"grey5","#0D0D0D","grey5","rgb(13, 13, 13)"
"grey50","#7F7F7F","grey50","rgb(127, 127, 127)"
"grey51","#828282","grey51","rgb(130, 130, 130)"
"grey52","#858585","grey52","rgb(133, 133, 133)"
"grey53","#878787","grey53","rgb(135, 135, 135)"
"grey54","#8A8A8A","grey54","rgb(138, 138, 138)"
"grey55","#8C8C8C","grey55","rgb(140, 140, 140)"
"grey56","#8F8F8F","grey56","rgb(143, 143, 143)"
"grey57","#919191","grey57","rgb(145, 145, 145)"
"grey58","#949494","grey58","rgb(148, 148, 148)"
"grey59","#969696","grey59","rgb(150, 150, 150)"
"grey6","#0F0F0F","grey6","rgb(15, 15, 15)"
"grey60","#999999","grey60","rgb(153, 153, 153)"
"grey61","#9C9C9C","grey61","rgb(156, 156, 156)"
"grey62","#9E9E9E","grey62","rgb(158, 158, 158)"
"grey63","#A1A1A1","grey63","rgb(161, 161, 161)"
"grey64","#A3A3A3","grey64","rgb(163, 163, 163)"
"grey65","#A6A6A6","grey65","rgb(166, 166, 166)"
"grey66","#A8A8A8","grey66","rgb(168, 168, 168)"
"grey67","#ABABAB","grey67","rgb(171, 171, 171)"
"grey68","#ADADAD","grey68","rgb(173, 173, 173)"
"grey69","#B0B0B0","grey69","rgb(176, 176, 176)"
"grey7","#121212","grey7","rgb(18, 18, 18)"
"grey70","#B3B3B3","grey70","rgb(179, 179, 179)"
"grey71","#B5B5B5","grey71","rgb(181, 181, 181)"
"grey72","#B8B8B8","grey72","rgb(184, 184, 184)"
"grey73","#BABABA","grey73","rgb(186, 186, 186)"
"grey74","#BDBDBD","grey74","rgb(189, 189, 189)"
"grey75","#BFBFBF","grey75","rgb(191, 191, 191)"
"grey76","#C2C2C2","grey76","rgb(194, 194, 194)"
"grey77","#C4C4C4","grey77","rgb(196, 196, 196)"
"grey78","#C7C7C7","grey78","rgb(199, 199, 199)"
"grey79","#C9C9C9","grey79","rgb(201, 201, 201)"
"grey8","#141414","grey8","rgb(20, 20, 20)"
"grey80","#CCCCCC","grey80","rgb(204, 204, 204)"
"grey81","#CFCFCF","grey81","rgb(207, 207, 207)"
"grey82","#D1D1D1","grey82","rgb(209, 209, 209)"
"grey83","#D4D4D4","grey83","rgb(212, 212, 212)"
"grey84","#D6D6D6","grey84","rgb(214, 214, 214)"
