"color","hex","name","rgb"
"grey85","#D9D9D9","grey85","rgb(217, 217, 217)"
"grey86","#DBDBDB","grey86","rgb(219, 219, 219)"
"grey87","#DEDEDE","grey87","rgb(222, 222, 222)"
"grey88","#E0E0E0","grey88","rgb(224, 224, 224)"
"grey89","#E3E3E3","grey89","rgb(227, 227, 227)"
"grey9","#171717","grey9","rgb(23, 23, 23)"
"grey90","#E5E5E5","grey90","rgb(229, 229, 229)"
"grey91","#E8E8E8","grey91","rgb(232, 232, 232)"
"grey92","#EBEBEB","grey92","rgb(235, 235, 235)"
"grey93","#EDEDED","grey93","rgb(237, 237, 237)"
"grey94","#F0F0F0","grey94","rgb(240, 240, 240)"
"grey95","#F2F2F2","grey95","rgb(242, 242, 242)"
"grey96","#F5F5F5","grey96","rgb(245, 245, 245)"
"grey97","#F7F7F7","grey97","rgb(247, 247, 247)"
"grey98","#FAFAFA","grey98","rgb(250, 250, 250)"
"grey99","#FCFCFC","grey99","rgb(252, 252, 252)"
"honeydew","#F0FFF0","honeydew","rgb(240, 255, 240)"
"honeydew1","#F0FFF0","honeydew1","rgb(240, 255, 240)"
"honeydew2","#E0EEE0","honeydew2","rgb(224, 238, 224)"
"honeydew3","#C1CDC1","honeydew3","rgb(193, 205, 193)"
"honeydew4","#838B83","honeydew4","rgb(131, 139, 131)"
"HotPink","#FF69B4","HotPink","rgb(255, 105, 180)"
"HotPink1","#FF6EB4","HotPink1","rgb(255, 110, 180)"
"HotPink2","#EE6AA7","HotPink2","rgb(238, 106, 167)"
"HotPink3","#CD6090","HotPink3","rgb(205, 96, 144)"
"HotPink4","#8B3A62","HotPink4","rgb(139, 58, 98)"
"IndianRed","#CD5C5C","IndianRed","rgb(205, 92, 92)"
"IndianRed1","#FF6A6A","IndianRed1","rgb(255, 106, 106)"
"IndianRed2","#EE6363","IndianRed2","rgb(238, 99, 99)"
"IndianRed3","#CD5555","IndianRed3","rgb(205, 85, 85)"
"IndianRed4","#8B3A3A","IndianRed4","rgb(139, 58, 58)"
"indigo","#4B0082","indigo","rgb(75, 0, 130)"
"ivory","#FFFFF0","ivory","rgb(255, 255, 240)"
"ivory1","#FFFFF0","ivory1","rgb(255, 255, 240)"
"ivory2","#EEEEE0","ivory2","rgb(238, 238, 224)"
"ivory3","#CDCDC1","ivory3","rgb(205, 205, 193)"
"ivory4","#8B8B83","ivory4","rgb(139, 139, 131)"
"khaki","#F0E68C","khaki","rgb(240, 230, 140)"
"khaki1","#FFF68F","khaki1","rgb(255, 246, 143)"
"khaki2","#EEE685","khaki2","rgb(238, 230, 133)"
"khaki3","#CDC673","khaki3","rgb(205, 198, 115)"
"khaki4","#8B864E","khaki4","rgb(139, 134, 78)"
"lavender","#E6E6FA","lavender","rgb(230, 230, 250)"
"LavenderBlush","#FFF0F5","LavenderBlush","rgb(255, 240, 245)"
"LavenderBlush1","#FFF0F5","LavenderBlush1","rgb(255, 240, 245)"
"LavenderBlush2","#EEE0E5","LavenderBlush2","rgb(238, 224, 229)"
"LavenderBlush3","#CDC1C5","LavenderBlush3","rgb(205, 193, 197)"
"LavenderBlush4","#8B8386","LavenderBlush4","rgb(139, 131, 134)"
"LawnGreen","#7CFC00","LawnGreen","rgb(124, 252, 0)"
"LemonChiffon","#FFFACD","LemonChiffon","rgb(255, 250, 205)"
"LemonChiffon1","#FFFACD","LemonChiffon1","rgb(255, 250, 205)"
"LemonChiffon2","#EEE9BF","LemonChiffon2","rgb(238, 233, 191)"
"LemonChiffon3","#CDC9A5","LemonChiffon3","rgb(205, 201, 165)"
"LemonChiffon4","#8B8970","LemonChiffon4","rgb(139, 137, 112)"
"LightBlue","#ADD8E6","LightBlue","rgb(173, 216, 230)"
"LightBlue1","#BFEFFF","LightBlue1","rgb(191, 239, 255)"
"LightBlue2","#B2DFEE","LightBlue2","rgb(178, 223, 238)"
"LightBlue3","#9AC0CD","LightBlue3","rgb(154, 192, 205)"
"LightBlue4","#68838B","LightBlue4","rgb(104, 131, 139)"
"LightCoral","#F08080","LightCoral","rgb(240, 128, 128)"
"LightCyan","#E0FFFF","LightCyan","rgb(224, 255, 255)"
"LightCyan1","#E0FFFF","LightCyan1","rgb(224, 255, 255)"
"LightCyan2","#D1EEEE","LightCyan2","rgb(209, 238, 238)"
"LightCyan3","#B4CDCD","LightCyan3","rgb(180, 205, 205)"
"LightCyan4","#7A8B8B","LightCyan4","rgb(122, 139, 139)"
"LightGoldenrod","#EEDD82","LightGoldenrod","rgb(238, 221, 130)"
"LightGoldenrod1","#FFEC8B","LightGoldenrod1","rgb(255, 236, 139)"
"LightGoldenrod2","#EEDC82","LightGoldenrod2","rgb(238, 220, 130)"
"LightGoldenrod3","#CDBE70","LightGoldenrod3","rgb(205, 190, 112)"
"LightGoldenrod4","#8B814C","LightGoldenrod4","rgb(139, 129, 76)"
"LightGoldenrodYellow","#FAFAD2","LightGoldenrodYellow","rgb(250, 250, 210)"
"LightGray","#D3D3D3","LightGray","rgb(211, 211, 211)"
"LightGreen","#90EE90","LightGreen","rgb(144, 238, 144)"
"LightGrey","#D3D3D3","LightGrey","rgb(211, 211, 211)"
"LightPink","#FFB6C1","LightPink","rgb(255, 182, 193)"
"LightPink1","#FFAEB9","LightPink1","rgb(255, 174, 185)"
"LightPink2","#EEA2AD","LightPink2","rgb(238, 162, 173)"
"LightPink3","#CD8C95","LightPink3","rgb(205, 140, 149)"
"LightPink4","#8B5F65","LightPink4","rgb(139, 95, 101)"
"LightSalmon","#FFA07A","LightSalmon","rgb(255, 160, 122)"
"LightSalmon1","#FFA07A","LightSalmon1","rgb(255, 160, 122)"
"LightSalmon2","#EE9572","LightSalmon2","rgb(238, 149, 114)"
"LightSalmon3","#CD8162","LightSalmon3","rgb(205, 129, 98)"
"LightSalmon4","#8B5742","LightSalmon4","rgb(139, 87, 66)"
"LightSeaGreen","#20B2AA","LightSeaGreen","rgb(32, 178, 170)"
"LightSkyBlue","#87CEFA","LightSkyBlue","rgb(135, 206, 250)"
"LightSkyBlue1","#B0E2FF","LightSkyBlue1","rgb(176, 226, 255)"
"LightSkyBlue2","#A4D3EE","LightSkyBlue2","rgb(164, 211, 238)"
"LightSkyBlue3","#8DB6CD","LightSkyBlue3","rgb(141, 182, 205)"
"LightSkyBlue4","#607B8B","LightSkyBlue4","rgb(96, 123, 139)"
"LightSlateBlue","#8470FF","LightSlateBlue","rgb(132, 112, 255)"
"LightSlateGray","#778899","LightSlateGray","rgb(119, 136, 153)"
"LightSlateGrey","#778899","LightSlateGrey","rgb(119, 136, 153)"
"LightSteelBlue","#B0C4DE","LightSteelBlue","rgb(176, 196, 222)"
"LightSteelBlue1","#CAE1FF","LightSteelBlue1","rgb(202, 225, 255)"
"LightSteelBlue2","#BCD2EE","LightSteelBlue2","rgb(188, 210, 238)"
"LightSteelBlue3","#A2B5CD","LightSteelBlue3","rgb(162, 181, 205)"
"LightSteelBlue4","#6E7B8B","LightSteelBlue4","rgb(110, 123, 139)"
"LightYellow","#FFFFE0","LightYellow","rgb(255, 255, 224)"
"LightYellow1","#FFFFE0","LightYellow1","rgb(255, 255, 224)"
"LightYellow2","#EEEED1","LightYellow2","rgb(238, 238, 209)"
"LightYellow3","#CDCDB4","LightYellow3","rgb(205, 205, 180)"
"LightYellow4","#8B8B7A","LightYellow4","rgb(139, 139, 122)"
"lime","#00FF00","lime","rgb(0, 255, 0)"
"LimeGreen","#32CD32","LimeGreen","rgb(50, 205, 50)"
"linen","#FAF0E6","linen","rgb(250, 240, 230)"
"magenta","#FF00FF","magenta","rgb(255, 0, 255)"
"magenta1","#FF00FF","magenta1","rgb(255, 0, 255)"
"magenta2","#EE00EE","magenta2","rgb(238, 0, 238)"
"magenta3","#CD00CD","magenta3","rgb(205, 0, 205)"
"magenta4","#8B008B","magenta4","rgb(139, 0, 139)"
"maroon","#800000","maroon (SVG compliance)","rgb(128, 0, 0)"
"maroon","#B03060","maroon (X11 compliance)","rgb(176, 48, 96)"
"maroon1","#FF34B3","maroon1","rgb(255, 52, 179)"
"maroon2","#EE30A7","maroon2","rgb(238, 48, 167)"
"maroon3","#CD2990","maroon3","rgb(205, 41, 144)"
"maroon4","#8B1C62","maroon4","rgb(139, 28, 98)"
"MediumAquamarine","#66CDAA","MediumAquamarine","rgb(102, 205, 170)"
"MediumBlue","#0000CD","MediumBlue","rgb(0, 0, 205)"
"MediumForestGreen","#32814B","MediumForestGreen","rgb(50, 129, 75)"
"MediumGoldenRod","#D1C166","MediumGoldenRod","rgb(209, 193, 102)"
"MediumOrchid","#BA55D3","MediumOrchid","rgb(186, 85, 211)"
"MediumOrchid1","#E066FF","MediumOrchid1","rgb(224, 102, 255)"
"MediumOrchid2","#D15FEE","MediumOrchid2","rgb(209, 95, 238)"
"MediumOrchid3","#B452CD","MediumOrchid3","rgb(180, 82, 205)"
"MediumOrchid4","#7A378B","MediumOrchid4","rgb(122, 55, 139)"
"MediumPurple","#9370DB","MediumPurple","rgb(147, 112, 219)"
"MediumPurple1","#AB82FF","MediumPurple1","rgb(171, 130, 255)"
"MediumPurple2","#9F79EE","MediumPurple2","rgb(159, 121, 238)"
"MediumPurple3","#8968CD","MediumPurple3","rgb(137, 104, 205)"
"MediumPurple4","#5D478B","MediumPurple4","rgb(93, 71, 139)"
"MediumSeaGreen","#3CB371","MediumSeaGreen","rgb(60, 179, 113)"
"MediumSlateBlue","#7B68EE","MediumSlateBlue","rgb(123, 104, 238)"
"MediumSpringGreen","#00FA9A","MediumSpringGreen","rgb(0, 250, 154)"
"MediumTurquoise","#48D1CC","MediumTurquoise","rgb(72, 209, 204)"
"MediumVioletRed","#C71585","MediumVioletRed","rgb(199, 21, 133)"
"MidnightBlue","#191970","MidnightBlue","rgb(25, 25, 112)"
"MintCream","#F5FFFA","MintCream","rgb(245, 255, 250)"
"MistyRose","#FFE4E1","MistyRose","rgb(255, 228, 225)"
"MistyRose1","#FFE4E1","MistyRose1","rgb(255, 228, 225)"
"MistyRose2","#EED5D2","MistyRose2","rgb(238, 213, 210)"
"MistyRose3","#CDB7B5","MistyRose3","rgb(205, 183, 181)"
"MistyRose4","#8B7D7B","MistyRose4","rgb(139, 125, 123)"
"moccasin","#FFE4B5","moccasin","rgb(255, 228, 181)"
"NavajoWhite","#FFDEAD","NavajoWhite","rgb(255, 222, 173)"
"NavajoWhite1","#FFDEAD","NavajoWhite1","rgb(255, 222, 173)"
"NavajoWhite2","#EECFA1","NavajoWhite2","rgb(238, 207, 161)"
"NavajoWhite3","#CDB38B","NavajoWhite3","rgb(205, 179, 139)"
"NavajoWhite4","#8B795E","NavajoWhite4","rgb(139, 121, 94)"
"navy","#000080","navy","rgb(0, 0, 128)"
"NavyBlue","#000080","NavyBlue","rgb(0, 0, 128)"
"none","#00000000","none","rgba(0, 0, 0, 0.0)"
"OldLace","#FDF5E6","OldLace","rgb(253, 245, 230)"
"olive","#808000","olive","rgb(128, 128, 0)"
"OliveDrab","#6B8E23","OliveDrab","rgb(107, 142, 35)"
"OliveDrab1","#C0FF3E","OliveDrab1","rgb(192, 255, 62)"
"OliveDrab2","#B3EE3A","OliveDrab2","rgb(179, 238, 58)"
"OliveDrab3","#9ACD32","OliveDrab3","rgb(154, 205, 50)"
"OliveDrab4","#698B22","OliveDrab4","rgb(105, 139, 34)"
"opaque","#000000","opaque","rgb(0, 0, 0)"
"orange","#FFA500","orange","rgb(255, 165, 0)"
"orange1","#FFA500","orange1","rgb(255, 165, 0)"
"orange2","#EE9A00","orange2","rgb(238, 154, 0)"
"orange3","#CD8500","orange3","rgb(205, 133, 0)"
"orange4","#8B5A00","orange4","rgb(139, 90, 0)"
"OrangeRed","#FF4500","OrangeRed","rgb(255, 69, 0)"
"OrangeRed1","#FF4500","OrangeRed1","rgb(255, 69, 0)"
"OrangeRed2","#EE4000","OrangeRed2","rgb(238, 64, 0)"
"OrangeRed3","#CD3700","OrangeRed3","rgb(205, 55, 0)"
"OrangeRed4","#8B2500","OrangeRed4","rgb(139, 37, 0)"
"orchid","#DA70D6","orchid","rgb(218, 112, 214)"
"orchid1","#FF83FA","orchid1","rgb(255, 131, 250)"
"orchid2","#EE7AE9","orchid2","rgb(238, 122, 233)"
"orchid3","#CD69C9","orchid3","rgb(205, 105, 201)"
"orchid4","#8B4789","orchid4","rgb(139, 71, 137)"
"PaleGoldenrod","#EEE8AA","PaleGoldenrod","rgb(238, 232, 170)"
"PaleGreen","#98FB98","PaleGreen","rgb(152, 251, 152)"
"PaleGreen1","#9AFF9A","PaleGreen1","rgb(154, 255, 154)"
"PaleGreen2","#90EE90","PaleGreen2","rgb(144, 238, 144)"
"PaleGreen3","#7CCD7C","PaleGreen3","rgb(124, 205, 124)"
"PaleGreen4","#548B54","PaleGreen4","rgb(84, 139, 84)"
"PaleTurquoise","#AFEEEE","PaleTurquoise","rgb(175, 238, 238)"
"PaleTurquoise1","#BBFFFF","PaleTurquoise1","rgb(187, 255, 255)"
"PaleTurquoise2","#AEEEEE","PaleTurquoise2","rgb(174, 238, 238)"
"PaleTurquoise3","#96CDCD","PaleTurquoise3","rgb(150, 205, 205)"
"PaleTurquoise4","#668B8B","PaleTurquoise4","rgb(102, 139, 139)"
"PaleVioletRed","#DB7093","PaleVioletRed","rgb(219, 112, 147)"
"PaleVioletRed1","#FF82AB","PaleVioletRed1","rgb(255, 130, 171)"
"PaleVioletRed2","#EE799F","PaleVioletRed2","rgb(238, 121, 159)"
"PaleVioletRed3","#CD6889","PaleVioletRed3","rgb(205, 104, 137)"
"PaleVioletRed4","#8B475D","PaleVioletRed4","rgb(139, 71, 93)"
"PapayaWhip","#FFEFD5","PapayaWhip","rgb(255, 239, 213)"
"PeachPuff","#FFDAB9","PeachPuff","rgb(255, 218, 185)"
"PeachPuff1","#FFDAB9","PeachPuff1","rgb(255, 218, 185)"
"PeachPuff2","#EECBAD","PeachPuff2","rgb(238, 203, 173)"
"PeachPuff3","#CDAF95","PeachPuff3","rgb(205, 175, 149)"
"PeachPuff4","#8B7765","PeachPuff4","rgb(139, 119, 101)"
"peru","#CD853F","peru","rgb(205, 133, 63)"
"pink","#FFC0CB","pink","rgb(255, 192, 203)"
"pink1","#FFB5C5","pink1","rgb(255, 181, 197)"
"pink2","#EEA9B8","pink2","rgb(238, 169, 184)"
"pink3","#CD919E","pink3","rgb(205, 145, 158)"
"pink4","#8B636C","pink4","rgb(139, 99, 108)"
"plum","#DDA0DD","plum","rgb(221, 160, 221)"
"plum1","#FFBBFF","plum1","rgb(255, 187, 255)"
"plum2","#EEAEEE","plum2","rgb(238, 174, 238)"
"plum3","#CD96CD","plum3","rgb(205, 150, 205)"
"plum4","#8B668B","plum4","rgb(139, 102, 139)"
"PowderBlue","#B0E0E6","PowderBlue","rgb(176, 224, 230)"
"purple","#800080","purple (SVG compliance)","rgb(128, 0, 128)"
"purple","#A020F0","purple (X11 compliance)","rgb(160, 32, 240)"
"purple1","#9B30FF","purple1","rgb(155, 48, 255)"
"purple2","#912CEE","purple2","rgb(145, 44, 238)"
"purple3","#7D26CD","purple3","rgb(125, 38, 205)"
"purple4","#551A8B","purple4","rgb(85, 26, 139)"
"red","#FF0000","red","rgb(255, 0, 0)"
"red1","#FF0000","red1","rgb(255, 0, 0)"
"red2","#EE0000","red2","rgb(238, 0, 0)"
"red3","#CD0000","red3","rgb(205, 0, 0)"
"red4","#8B0000","red4","rgb(139, 0, 0)"
"RosyBrown","#BC8F8F","RosyBrown","rgb(188, 143, 143)"
"RosyBrown1","#FFC1C1","RosyBrown1","rgb(255, 193, 193)"
"RosyBrown2","#EEB4B4","RosyBrown2","rgb(238, 180, 180)"
"RosyBrown3","#CD9B9B","RosyBrown3","rgb(205, 155, 155)"
"RosyBrown4","#8B6969","RosyBrown4","rgb(139, 105, 105)"
"RoyalBlue","#4169E1","RoyalBlue","rgb(65, 105, 225)"
"RoyalBlue1","#4876FF","RoyalBlue1","rgb(72, 118, 255)"
"RoyalBlue2","#436EEE","RoyalBlue2","rgb(67, 110, 238)"
"RoyalBlue3","#3A5FCD","RoyalBlue3","rgb(58, 95, 205)"
"RoyalBlue4","#27408B","RoyalBlue4","rgb(39, 64, 139)"
"SaddleBrown","#8B4513","SaddleBrown","rgb(139, 69, 19)"
"salmon","#FA8072","salmon","rgb(250, 128, 114)"
"salmon1","#FF8C69","salmon1","rgb(255, 140, 105)"
"salmon2","#EE8262","salmon2","rgb(238, 130, 98)"
"salmon3","#CD7054","salmon3","rgb(205, 112, 84)"
"salmon4","#8B4C39","salmon4","rgb(139, 76, 57)"
"SandyBrown","#F4A460","SandyBrown","rgb(244, 164, 96)"
"SeaGreen","#2E8B57","SeaGreen","rgb(46, 139, 87)"
"SeaGreen1","#54FF9F","SeaGreen1","rgb(84, 255, 159)"
"SeaGreen2","#4EEE94","SeaGreen2","rgb(78, 238, 148)"
"SeaGreen3","#43CD80","SeaGreen3","rgb(67, 205, 128)"
"SeaGreen4","#2E8B57","SeaGreen4","rgb(46, 139, 87)"
"seashell","#FFF5EE","seashell","rgb(255, 245, 238)"
"seashell1","#FFF5EE","seashell1","rgb(255, 245, 238)"
"seashell2","#EEE5DE","seashell2","rgb(238, 229, 222)"
"seashell3","#CDC5BF","seashell3","rgb(205, 197, 191)"
"seashell4","#8B8682","seashell4","rgb(139, 134, 130)"
"sienna","#A0522D","sienna","rgb(160, 82, 45)"
"sienna1","#FF8247","sienna1","rgb(255, 130, 71)"
"sienna2","#EE7942","sienna2","rgb(238, 121, 66)"
"sienna3","#CD6839","sienna3","rgb(205, 104, 57)"
"sienna4","#8B4726","sienna4","rgb(139, 71, 38)"
"silver","#C0C0C0","silver","rgb(192, 192, 192)"
"SkyBlue","#87CEEB","SkyBlue","rgb(135, 206, 235)"
"SkyBlue1","#87CEFF","SkyBlue1","rgb(135, 206, 255)"
"SkyBlue2","#7EC0EE","SkyBlue2","rgb(126, 192, 238)"
"SkyBlue3","#6CA6CD","SkyBlue3","rgb(108, 166, 205)"
"SkyBlue4","#4A708B","SkyBlue4","rgb(74, 112, 139)"
"SlateBlue","#6A5ACD","SlateBlue","rgb(106, 90, 205)"
"SlateBlue1","#836FFF","SlateBlue1","rgb(131, 111, 255)"
"SlateBlue2","#7A67EE","SlateBlue2","rgb(122, 103, 238)"
"SlateBlue3","#6959CD","SlateBlue3","rgb(105, 89, 205)"
"SlateBlue4","#473C8B","SlateBlue4","rgb(71, 60, 139)"
"SlateGray","#708090","SlateGray","rgb(112, 128, 144)"
"SlateGray1","#C6E2FF","SlateGray1","rgb(198, 226, 255)"
"SlateGray2","#B9D3EE","SlateGray2","rgb(185, 211, 238)"
"SlateGray3","#9FB6CD","SlateGray3","rgb(159, 182, 205)"
"SlateGray4","#6C7B8B","SlateGray4","rgb(108, 123, 139)"
"SlateGrey","#708090","SlateGrey","rgb(112, 128, 144)"
"snow","#FFFAFA","snow","rgb(255, 250, 250)"
"snow1","#FFFAFA","snow1","rgb(255, 250, 250)"
"snow2","#EEE9E9","snow2","rgb(238, 233, 233)"
"snow3","#CDC9C9","snow3","rgb(205, 201, 201)"
"snow4","#8B8989","snow4","rgb(139, 137, 137)"
"SpringGreen","#00FF7F","SpringGreen","rgb(0, 255, 127)"
"SpringGreen1","#00FF7F","SpringGreen1","rgb(0, 255, 127)"
"SpringGreen2","#00EE76","SpringGreen2","rgb(0, 238, 118)"
"SpringGreen3","#00CD66","SpringGreen3","rgb(0, 205, 102)"
"SpringGreen4","#008B45","SpringGreen4","rgb(0, 139, 69)"
"SteelBlue","#4682B4","SteelBlue","rgb(70, 130, 180)"
"SteelBlue1","#63B8FF","SteelBlue1","rgb(99, 184, 255)"
"SteelBlue2","#5CACEE","SteelBlue2","rgb(92, 172, 238)"
"SteelBlue3","#4F94CD","SteelBlue3","rgb(79, 148, 205)"
"SteelBlue4","#36648B","SteelBlue4","rgb(54, 100, 139)"
"tan","#D2B48C","tan","rgb(210, 180, 140)"
"tan1","#FFA54F","tan1","rgb(255, 165, 79)"
"tan2","#EE9A49","tan2","rgb(238, 154, 73)"
"tan3","#CD853F","tan3","rgb(205, 133, 63)"
"tan4","#8B5A2B","tan4","rgb(139, 90, 43)"
"teal","#008080","teal","rgb(0, 128, 128)"
"thistle","#D8BFD8","thistle","rgb(216, 191, 216)"
"thistle1","#FFE1FF","thistle1","rgb(255, 225, 255)"
"thistle2","#EED2EE","thistle2","rgb(238, 210, 238)"
"thistle3","#CDB5CD","thistle3","rgb(205, 181, 205)"
"thistle4","#8B7B8B","thistle4","rgb(139, 123, 139)"
"tomato","#FF6347","tomato","rgb(255, 99, 71)"
"tomato1","#FF6347","tomato1","rgb(255, 99, 71)"
"tomato2","#EE5C42","tomato2","rgb(238, 92, 66)"
"tomato3","#CD4F39","tomato3","rgb(205, 79, 57)"
"tomato4","#8B3626","tomato4","rgb(139, 54, 38)"
"transparent","#00000000","transparent","rgba(0, 0, 0, 0.0)"
"turquoise","#40E0D0","turquoise","rgb(64, 224, 208)"
"turquoise1","#00F5FF","turquoise1","rgb(0, 245, 255)"
"turquoise2","#00E5EE","turquoise2","rgb(0, 229, 238)"
"turquoise3","#00C5CD","turquoise3","rgb(0, 197, 205)"
"turquoise4","#00868B","turquoise4","rgb(0, 134, 139)"
"violet","#EE82EE","violet","rgb(238, 130, 238)"
"VioletRed","#D02090","VioletRed","rgb(208, 32, 144)"
"VioletRed1","#FF3E96","VioletRed1","rgb(255, 62, 150)"
"VioletRed2","#EE3A8C","VioletRed2","rgb(238, 58, 140)"
"VioletRed3","#CD3278","VioletRed3","rgb(205, 50, 120)"
"VioletRed4","#8B2252","VioletRed4","rgb(139, 34, 82)"
"wheat","#F5DEB3","wheat","rgb(245, 222, 179)"
"wheat1","#FFE7BA","wheat1","rgb(255, 231, 186)"
"wheat2","#EED8AE","wheat2","rgb(238, 216, 174)"
"wheat3","#CDBA96","wheat3","rgb(205, 186, 150)"
"wheat4","#8B7E66","wheat4","rgb(139, 126, 102)"
"white","#FFFFFF","white","rgb(255, 255, 255)"
"WhiteSmoke","#F5F5F5","WhiteSmoke","rgb(245, 245, 245)"
"yellow","#FFFF00","yellow","rgb(255, 255, 0)"
"yellow1","#FFFF00","yellow1","rgb(255, 255, 0)"
"yellow2","#EEEE00","yellow2","rgb(238, 238, 0)"
"yellow3","#CDCD00","yellow3","rgb(205, 205, 0)"
"yellow4","#8B8B00","yellow4","rgb(139, 139, 0)"
"YellowGreen","#9ACD32","YellowGreen","rgb(154, 205, 50)"
